     Alt            CO2               CO                O                N2                H2               H              Ar             He                  H2O
   229.000000       131.993195       2142.49194       355.322693       227.114807       6708.12793       50.8122749       156.672226       885.945862       18.4541016    
   232.000000       144.578217       2275.86670       458.913757       248.312973       7125.72314       60.2857132       180.206055       1143.39563       20.8253765    
   235.000000       158.378235       2416.12256       592.430237       271.489380       7564.86328       71.0650101       206.088974       1474.71411       23.4446335    
   238.000000       173.284317       2551.77100       765.144714       296.374786       7989.57764       83.2340164       234.226624       1902.43567       26.3173828    
   241.000000       189.464111       2673.73657       988.029053       323.139099       8371.45020       96.9151382       264.664673       2452.91089       29.4848194    
   244.000000       206.997452       2785.20923       1275.86060       351.887482       8720.47070       112.210602       297.448914       3161.35132       32.9702034    
   247.000000       225.728760       2879.84082       1647.50427       382.260620       9016.76172       129.146210       332.280121       4071.91016       36.7771225    
   250.000000       245.761337       2946.50781       2127.51587       414.222595       9225.49609       147.911057       369.074707       5240.65088       40.9581299    
   253.000000       266.952789       2976.13452       2747.04126       447.300354       9318.25684       168.626709       407.387329       6736.06836       45.5399513    
   256.000000       288.972565       2969.29272       3547.07471       480.778107       9296.83496       191.308533       446.524323       8644.42773       50.5165672    
   259.000000       311.812225       2915.68506       4580.42090       514.195007       9128.98926       216.373016       486.001068       11067.7070       55.9866829    
   262.000000       334.867920       2827.96509       5911.94873       546.461304       8854.33984       243.721573       524.676086       14117.9980       61.9071960    
   265.000000       357.513184       2698.57959       7633.92041       576.053101       8449.23438       273.705444       561.079224       17930.3379       68.3271484    
   268.000000       378.282990       2517.96094       9855.39258       599.966064       7883.71875       306.493500       592.253113       22599.0469       75.2226028    
   271.000000       396.671112       2315.66479       12723.2148       617.642822       7250.33008       342.385040       617.308594       28197.5391       82.6086121    
   274.000000       411.630951       2103.66724       16424.5859       627.675415       6586.56738       381.614014       634.581055       34694.3242       90.4427795    
   277.000000       420.804932       1875.01733       21203.0273       626.375854       5870.66650       424.499390       640.207886       41814.9414       98.6111908    
   280.000000       424.758423       1660.87622       27366.9336       616.268860       5200.19189       471.523376       636.175598       49145.9805       107.091805    
   283.000000       422.126740       1458.63342       35321.5859       596.243408       4566.97119       522.882019       621.127808       55936.3789       115.660583    
   286.000000       412.704559       1271.79663       45587.5547       567.275879       3981.98657       579.146729       595.820557       61299.3711       124.114983    
   289.000000       396.637360       1101.69580       58802.5508       530.765625       3449.40210       640.827637       561.550842       64408.3906       132.153656    
   292.000000       373.960693       946.467896       75869.3750       487.673950       2963.38477       708.234497       519.278870       64748.7734       139.273972    
   295.000000       349.556183       819.017639       97848.9453       445.598206       2564.33862       782.217346       476.982788       63060.9102       145.540756    
   298.000000       320.952484       703.080566       126154.281       400.691925       2201.34058       863.525696       430.854187       59192.0195       150.084610    
   301.000000       289.783142       599.536133       162561.766       355.151123       1877.14355       952.427795       383.331512       53863.6367       152.357666    
   304.000000       261.302063       516.861450       209349.047       315.465332       1618.28979       1050.16675       341.500366       48542.1484       153.046371    
   307.000000       232.871185       443.800293       269295.719       277.566071       1389.53564       1157.13330       301.196503       42992.1719       151.194748    
   310.000000       206.419846       381.814972       345918.500       243.468155       1195.46008       1274.68896       264.699982       37774.8477       147.224213    
   313.000000       181.985947       328.638184       443437.562       212.814224       1028.96399       1404.11011       231.723572       32981.1250       141.238449    
   316.000000       160.228638       283.934082       566488.375       186.092133       888.995667       1545.27625       202.866501       28767.9531       133.806717    
   319.000000       140.985016       246.122787       720917.625       162.846558       770.608765       1701.53894       177.690109       25097.0371       125.393867    
   322.000000       124.431015       214.710388       911925.500       143.108597       672.256714       1871.97058       156.264755       21987.3828       116.634697    
   325.000000       110.344147       188.680298       1144480.12       126.478790       590.756714       2060.07178       138.182724       19376.7949       108.012383    
   328.000000       98.7034073       167.598663       1421896.62       112.840256       524.750244       2265.92017       123.334396       17244.4277       100.050476    
   331.000000       89.2284622       150.693100       1744853.00       101.801369       471.819092       2493.07397       111.305168       15524.7012       93.0113525    
   334.000000       81.8408661       137.648666       2111100.25       93.2281570       430.977051       2741.55322       101.956810       14192.9355       87.1998825    
   337.000000       75.8361359       127.135544       2512088.00       86.2820740       398.060486       3015.02954       94.3786926       13116.6279       82.2422943    
   340.000000       71.5065613       119.581062       2942815.00       81.2800674       374.407501       3315.52710       88.9204025       12342.1768       78.6157684    
   343.000000       68.5779648       114.466049       3395407.25       77.8951950       358.392426       3645.66626       85.2269516       11817.5303       76.2031555    
   346.000000       66.5739212       110.952728       3859476.75       75.5754471       347.392242       4008.67236       82.6962814       11457.0908       74.6145020    
   349.000000       65.6883469       109.348793       4338459.50       74.5370407       342.370300       4407.28174       81.5656891       11293.0664       74.1161652    
   352.000000       65.1173782       108.289268       4804910.00       73.8609314       339.052948       4845.37061       80.8306198       11184.8330       73.8984833    
   355.000000       65.5448227       108.915222       5289184.50       74.3237762       341.012817       5327.06494       81.3408813       11250.3584       74.7195892    
   358.000000       66.4261093       110.306877       5772219.00       75.3042297       345.370087       5856.21143       82.4170837       11394.7793       76.0149384    
   361.000000       67.6313095       112.243790       6248121.50       76.6537857       351.434540       6437.30273       83.8969421       11595.3887       77.6534729    
   364.000000       69.3279495       115.003525       6732422.00       78.5622101       360.075256       7077.76758       85.9881439       11880.8984       79.8287735    
   367.000000       71.4637604       118.497025       7227831.00       80.9696503       371.013367       7779.16211       88.6253128       12242.1387       82.4896164    
   370.000000       73.6119385       122.010628       7701232.00       83.3909988       382.014435       8551.40625       91.2777023       12605.4072       85.1672363    
   373.000000       76.0944977       126.081085       8183579.50       86.1918106       394.759003       9399.86328       94.3453369       13026.1641       88.2217102    
   376.000000       79.1624298       131.125275       8703912.00       89.6566849       410.552338       10333.8896       98.1396713       13547.4863       91.9399033    
   379.000000       82.3876343       136.429596       9224919.00       93.2995682       427.160156       11356.4219       102.128883       14095.6650       95.8427582    
   382.000000       85.9725571       142.330048       9769947.00       97.3499146       445.634399       12485.2588       106.564102       14705.4131       100.162483    
   385.000000       89.7555161       148.557495       10324635.0       101.624298       465.132477       13727.3906       111.244591       15348.9316       104.717079    
   388.000000       93.7310028       155.102783       10889926.0       106.116455       485.625732       15088.4395       116.163506       16025.2783       109.499947    
   391.000000       98.0986252       162.297226       11490026.0       111.052612       508.151520       16582.2227       121.568443       16768.6855       114.740097    
   394.000000       102.644302       169.784622       12102653.0       116.189934       531.594482       18227.8574       127.193649       17542.3535       120.195656    
   397.000000       107.521683       177.820007       12746522.0       121.702522       556.753235       20038.1914       133.229736       18372.6328       126.042709    
   400.000000       112.579643       186.152420       13405640.0       127.419106       582.841919       22026.9355       139.489166       19233.5918       132.108551    
   403.000000       118.001091       195.085220       14102193.0       133.546906       610.810486       24209.4863       146.198807       20156.5840       138.603729    
