ALT   N2         CO2        CO          O       HE
    343.    6.105E+03  1.532E+02  5.541E+02  7.295E+05  3.162E+00
    346.    5.180E+03  1.186E+02  4.642E+02  6.636E+05  2.424E+00
    349.    4.394E+03  9.182E+01  3.888E+02  6.037E+05  1.859E+00
    352.    3.728E+03  7.110E+01  3.257E+02  5.492E+05  1.425E+00
    355.    3.162E+03  5.505E+01  2.728E+02  4.996E+05  1.093E+00
    358.    2.683E+03  4.262E+01  2.286E+02  4.545E+05  8.377E-01
    361.    2.276E+03  3.300E+01  1.914E+02  4.135E+05  6.422E-01
    364.    1.931E+03  2.555E+01  1.604E+02  3.761E+05  4.924E-01
    367.    1.638E+03  1.978E+01  1.343E+02  3.422E+05  3.775E-01
    370.    1.390E+03  1.532E+01  1.125E+02  3.113E+05  2.894E-01
    373.    1.179E+03  1.186E+01  9.427E+01  2.832E+05  2.219E-01
    376.    1.000E+03  9.182E+00  7.896E+01  2.576E+05  1.701E-01
    379.    8.483E+02  7.110E+00  6.615E+01  2.344E+05  1.304E-01
    382.    7.197E+02  5.505E+00  5.541E+01  2.132E+05  1.000E-01
    385.    6.105E+02  4.262E+00  4.642E+01  1.939E+05  7.667E-02
    388.    5.180E+02  3.300E+00  3.888E+01  1.764E+05  5.878E-02
    391.    4.394E+02  2.555E+00  3.257E+01  1.605E+05  4.507E-02
    394.    3.728E+02  1.978E+00  2.728E+01  1.460E+05  3.455E-02
    397.    3.162E+02  1.532E+00  2.285E+01  1.328E+05  2.649E-02
    400.    2.683E+02  1.186E+00  1.915E+01  1.208E+05  2.031E-02
    403.    2.276E+02  9.183E-01  1.604E+01  1.099E+05  1.557E-02
    406.    1.931E+02  7.110E-01  1.343E+01  1.000E+05  1.194E-02
    409.    1.638E+02  5.505E-01  1.125E+01  9.097E+04  9.152E-03
    412.    1.389E+02  4.262E-01  9.427E+00  8.276E+04  7.017E-03
    415.    1.179E+02  3.300E-01  7.897E+00  7.529E+04  5.380E-03
    418.    1.000E+02  2.555E-01  6.615E+00  6.849E+04  4.125E-03
    421.    8.483E+01  1.978E-01  5.541E+00  6.231E+04  3.162E-03
    424.    7.197E+01  1.532E-01  4.642E+00  5.668E+04  2.424E-03
    427.    6.105E+01  1.186E-01  3.888E+00  5.156E+04  1.859E-03
    430.    5.179E+01  9.183E-02  3.257E+00  4.691E+04  1.425E-03
    433.    4.394E+01  7.110E-02  2.728E+00  4.267E+04  1.093E-03
    436.    3.728E+01  5.505E-02  2.286E+00  3.882E+04  8.377E-04
    439.    3.162E+01  4.262E-02  1.914E+00  3.531E+04  6.422E-04
    442.    2.683E+01  3.300E-02  1.604E+00  3.213E+04  4.924E-04
    445.    2.276E+01  2.555E-02  1.343E+00  2.923E+04  3.775E-04
    448.    1.931E+01  1.978E-02  1.125E+00  2.659E+04  2.894E-04
    451.    1.638E+01  1.532E-02  9.427E-01  2.419E+04  2.219E-04
    454.    1.390E+01  1.186E-02  7.897E-01  2.200E+04  1.701E-04
    457.    1.179E+01  9.182E-03  6.615E-01  2.002E+04  1.304E-04
    460.    1.000E+01  7.110E-03  5.541E-01  1.821E+04  1.000E-04
    463.    8.483E+00  5.505E-03  4.642E-01  1.656E+04  7.667E-05
    466.    7.197E+00  4.262E-03  3.888E-01  1.507E+04  5.878E-05
    469.    6.105E+00  3.300E-03  3.257E-01  1.371E+04  4.507E-05
    472.    5.180E+00  2.555E-03  2.728E-01  1.247E+04  3.455E-05
    475.    4.394E+00  1.978E-03  2.286E-01  1.135E+04  2.649E-05
    478.    3.728E+00  1.532E-03  1.914E-01  1.032E+04  2.031E-05
    481.    3.162E+00  1.186E-03  1.604E-01  9.389E+03  1.557E-05
    484.    2.683E+00  9.183E-04  1.343E-01  8.541E+03  1.194E-05
    487.    2.276E+00  7.110E-04  1.125E-01  7.770E+03  9.152E-06
    490.    1.931E+00  5.505E-04  9.427E-02  7.068E+03  7.017E-06
    493.    1.638E+00  4.262E-04  7.897E-02  6.430E+03  5.380E-06
    496.    1.390E+00  3.300E-04  6.615E-02  5.850E+03  4.125E-06
    499.    1.179E+00  2.555E-04  5.541E-02  5.321E+03  3.162E-06
    502.    1.000E+00  1.978E-04  4.642E-02  4.841E+03  2.425E-06
    505.    8.483E-01  1.532E-04  3.888E-02  4.404E+03  1.859E-06
    508.    7.197E-01  1.186E-04  3.257E-02  4.006E+03  1.425E-06
    511.    6.105E-01  9.183E-05  2.728E-02  3.645E+03  1.093E-06
    514.    5.179E-01  7.110E-05  2.286E-02  3.316E+03  8.377E-07
    517.    4.394E-01  5.505E-05  1.915E-02  3.016E+03  6.422E-07
    520.    3.728E-01  4.262E-05  1.604E-02  2.744E+03  4.924E-07
    523.    3.162E-01  3.300E-05  1.343E-02  2.496E+03  3.775E-07
    526.    2.683E-01  2.555E-05  1.125E-02  2.271E+03  2.894E-07
    529.    2.276E-01  1.978E-05  9.427E-03  2.066E+03  2.219E-07
    532.    1.931E-01  1.532E-05  7.896E-03  1.879E+03  1.701E-07
    535.    1.638E-01  1.186E-05  6.615E-03  1.710E+03  1.304E-07
    538.    1.390E-01  9.183E-06  5.541E-03  1.555E+03  1.000E-07
    541.    1.179E-01  7.110E-06  4.642E-03  1.415E+03  7.667E-08
    544.    1.000E-01  5.505E-06  3.888E-03  1.287E+03  5.878E-08
    547.    8.483E-02  4.262E-06  3.257E-03  1.171E+03  4.507E-08
    550.    7.197E-02  3.300E-06  2.728E-03  1.065E+03  3.455E-08
    553.    6.105E-02  2.555E-06  2.286E-03  9.690E+02  2.649E-08
    556.    5.179E-02  1.978E-06  1.915E-03  8.815E+02  2.031E-08
    559.    4.394E-02  1.532E-06  1.604E-03  8.019E+02  1.557E-08
    562.    3.728E-02  1.186E-06  1.343E-03  7.295E+02  1.194E-08
    565.    3.162E-02  9.183E-07  1.125E-03  6.636E+02  9.153E-09
    568.    2.683E-02  7.110E-07  9.427E-04  6.037E+02  7.017E-09
    571.    2.276E-02  5.505E-07  7.897E-04  5.492E+02  5.380E-09
    574.    1.931E-02  4.262E-07  6.615E-04  4.996E+02  4.125E-09
    577.    1.638E-02  3.300E-07  5.541E-04  4.545E+02  3.162E-09
    580.    1.390E-02  2.555E-07  4.642E-04  4.135E+02  2.424E-09
    583.    1.179E-02  1.978E-07  3.888E-04  3.761E+02  1.859E-09
    586.    1.000E-02  1.532E-07  3.257E-04  3.422E+02  1.425E-09
    589.    8.483E-03  1.186E-07  2.728E-04  3.113E+02  1.093E-09
    592.    7.197E-03  9.183E-08  2.285E-04  2.832E+02  8.377E-10
    595.    6.105E-03  7.110E-08  1.915E-04  2.576E+02  6.422E-10
    598.    5.180E-03  5.505E-08  1.604E-04  2.344E+02  4.924E-10
    601.    4.394E-03  4.262E-08  1.343E-04  2.132E+02  3.775E-10
    604.    3.728E-03  3.300E-08  1.125E-04  1.939E+02  2.894E-10
    607.    3.162E-03  2.555E-08  9.427E-05  1.764E+02  2.219E-10
    610.    2.683E-03  1.978E-08  7.897E-05  1.605E+02  1.701E-10
    613.    2.276E-03  1.532E-08  6.615E-05  1.460E+02  1.304E-10
    616.    1.931E-03  1.186E-08  5.541E-05  1.328E+02  1.000E-10
    619.    1.638E-03  9.183E-09  4.642E-05  1.208E+02  7.667E-11
    622.    1.389E-03  7.110E-09  3.888E-05  1.099E+02  5.878E-11
    625.    1.179E-03  5.505E-09  3.257E-05  1.000E+02  4.507E-11
    628.    1.000E-03  4.262E-09  2.728E-05  9.097E+01  3.455E-11
    631.    8.483E-04  3.300E-09  2.285E-05  8.276E+01  2.649E-11
    634.    7.197E-04  2.555E-09  1.914E-05  7.529E+01  2.031E-11
    637.    6.105E-04  1.978E-09  1.604E-05  6.849E+01  1.557E-11
    640.    5.179E-04  1.532E-09  1.343E-05  6.231E+01  1.194E-11
    643.    4.394E-04  1.186E-09  1.125E-05  5.668E+01  9.152E-12
    646.    3.728E-04  9.182E-10  9.427E-06  5.156E+01  7.017E-12
    649.    3.162E-04  7.110E-10  7.897E-06  4.691E+01  5.380E-12
    652.    2.683E-04  5.505E-10  6.615E-06  4.267E+01  4.125E-12
    655.    2.276E-04  4.262E-10  5.541E-06  3.882E+01  3.162E-12
    658.    1.931E-04  3.300E-10  4.642E-06  3.531E+01  2.425E-12
    661.    1.638E-04  2.555E-10  3.888E-06  3.213E+01  1.859E-12
    664.    1.389E-04  1.978E-10  3.257E-06  2.923E+01  1.425E-12
    667.    1.179E-04  1.532E-10  2.728E-06  2.659E+01  1.093E-12
    670.    1.000E-04  1.186E-10  2.285E-06  2.419E+01  8.377E-13
    673.    8.483E-05  9.182E-11  1.914E-06  2.200E+01  6.422E-13
    676.    7.197E-05  7.110E-11  1.604E-06  2.002E+01  4.924E-13
    679.    6.105E-05  5.505E-11  1.343E-06  1.821E+01  3.775E-13
    682.    5.179E-05  4.262E-11  1.125E-06  1.656E+01  2.894E-13
    685.    4.394E-05  3.300E-11  9.427E-07  1.507E+01  2.219E-13
    688.    3.728E-05  2.555E-11  7.897E-07  1.371E+01  1.701E-13
    691.    3.162E-05  1.978E-11  6.615E-07  1.247E+01  1.304E-13
    694.    2.683E-05  1.532E-11  5.541E-07  1.135E+01  1.000E-13
    697.    2.276E-05  1.186E-11  4.642E-07  1.032E+01  7.667E-14
